日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量(股),成交金额(元),涨跌,涨跌幅(%)
1990/12/19,N/A,96.05,99.98,95.79,99.98,126000,494311,N/A,N/A
1990/12/20,99.98,104.3,104.39,99.98,104.39,19700,84992,4.41,4.4109
1990/12/21,104.39,109.07,109.13,103.73,109.13,2800,16096,4.74,4.5407
1990/12/24,109.13,113.57,114.55,109.13,114.55,3200,31063,5.42,4.9666
1990/12/25,114.55,120.09,120.25,114.55,120.25,1500,6510,5.7,4.976
1990/12/26,120.25,125.27,125.27,120.25,125.27,10000,53730,5.02,4.1746
1990/12/27,125.27,125.27,125.28,125.27,125.28,6600,104644,0.01,0.008
1990/12/28,125.28,126.39,126.45,125.28,126.45,10800,88031,1.17,0.9339
1990/12/31,126.45,126.56,127.61,126.48,127.61,7800,60030,1.16,0.9174
1991/1/2,127.61,127.61,128.84,127.61,128.84,9100,59098,1.23,0.9639
1991/1/3,128.84,128.84,130.14,128.84,130.14,14100,93918,1.3,1.009
1991/1/4,130.14,131.27,131.44,130.14,131.44,42000,261904,1.3,0.9989
1991/1/7,131.44,131.99,132.06,131.45,132.06,21700,141737,0.62,0.4717
1991/1/8,132.06,132.62,132.68,132.06,132.68,292600,1806867,0.62,0.4695
1991/1/9,132.68,133.3,133.34,132.68,133.34,560300,3228719,0.66,0.4974
1991/1/10,133.34,133.93,133.97,133.34,133.97,999000,5399457,0.63,0.4725
1991/1/11,133.97,134.61,134.61,134.51,134.6,1332700,7115732,0.63,0.4703
1991/1/14,134.6,134.11,135.19,134.11,134.67,1253000,6883604,0.07,0.052
1991/1/15,134.67,134.21,134.74,134.19,134.74,144600,1010364,0.07,0.052
1991/1/16,134.74,134.19,134.74,134.14,134.24,50900,270133,-0.5,-0.3711
1991/1/17,134.24,133.67,134.25,133.65,134.25,65800,334238,0.01,0.0074
1991/1/18,134.25,133.7,134.25,133.67,134.24,300400,1570833,-0.01,-0.0074
1991/1/21,134.24,133.7,134.24,133.66,134.24,205100,1029305,0,0
1991/1/22,134.24,133.72,134.24,133.66,133.72,35400,180787,-0.52,-0.3874
1991/1/23,133.72,133.17,133.72,133.14,133.17,109500,575928,-0.55,-0.4113
1991/1/24,133.17,132.61,133.17,132.57,132.61,185700,917392,-0.56,-0.4205
1991/1/25,132.61,132.05,132.07,132.03,132.05,344700,1722246,-0.56,-0.4223
1991/1/28,132.05,131.46,131.55,131.46,131.46,510700,2565573,-0.59,-0.4468
1991/1/29,131.46,130.95,130.97,130.95,130.95,138700,710741,-0.51,-0.388
1991/1/30,130.95,130.44,130.95,130.41,130.44,52700,260701,-0.51,-0.3895
1991/1/31,130.44,129.93,130.46,129.93,129.97,51000,244662,-0.47,-0.3603
1991/2/1,129.97,129.5,129.97,129.45,129.51,34500,140871,-0.46,-0.3539
1991/2/4,129.51,129.05,129.58,129.05,129.05,55300,273652,-0.46,-0.3552
1991/2/5,129.05,128.56,128.58,128.53,128.58,856200,4250084,-0.47,-0.3642
1991/2/6,128.58,129.13,129.15,128.06,129.14,664100,3847268,0.56,0.4355
1991/2/7,129.14,129.74,129.79,129.14,129.79,213300,1504814,0.65,0.5033
1991/2/8,129.79,130.36,130.39,129.79,130.38,123400,879868,0.59,0.4546
1991/2/11,130.38,130.92,130.97,130.39,130.97,931700,4834876,0.59,0.4525
1991/2/12,130.97,131.54,131.56,130.97,131.35,377400,1986983,0.38,0.2901
1991/2/13,131.35,131.93,131.93,131.35,131.92,115200,673738,0.57,0.434
1991/2/14,131.92,132.53,132.53,132.3,132.53,362400,1883072,0.61,0.4624
1991/2/19,132.53,133.12,133.14,133.08,133.13,174800,1216176,0.6,0.4527
1991/2/20,133.13,133.63,133.67,133.13,133.67,87600,520724,0.54,0.4056
1991/2/21,133.67,134.24,134.28,133.67,134.28,322000,1771726,0.61,0.4563
1991/2/22,134.28,134.85,134.87,134.28,134.87,342700,2003776,0.59,0.4394
1991/2/25,134.87,134.37,134.87,134.33,134.4,81000,621015,-0.47,-0.3485
1991/2/26,134.4,133.9,134.44,133.9,133.93,109400,2545711,-0.47,-0.3497
1991/2/27,133.93,133.44,133.98,133.44,133.47,21400,141958,-0.46,-0.3435
1991/2/28,133.47,132.99,133.52,132.98,133.01,225800,1187974,-0.46,-0.3446
1991/3/1,133.01,132.53,132.53,132.47,132.53,712400,3777320,-0.48,-0.3609
1991/3/4,132.53,132.09,132.09,131.98,131.99,251800,1418017,-0.54,-0.4075
1991/3/5,131.99,131.42,131.99,131.41,131.46,98200,934706,-0.53,-0.4015
1991/3/6,131.46,130.89,130.95,130.89,130.94,71900,1345390,-0.52,-0.3956
1991/3/7,130.94,130.41,130.94,130.41,130.41,56800,427475,-0.53,-0.4048
1991/3/8,130.41,129.84,130.41,129.84,129.89,93300,541770,-0.52,-0.3987
1991/3/11,129.89,129.3,129.89,129.3,129.31,51400,299524,-0.58,-0.4465
